group,letter,noise,n_TP,n_FP,n_FN,n_COMPLEMENT,n_CICLO,n_samples,tasa_TP,tasa_FP,tasa_FN,tasa_COMPLEMENT,tasa_CICLO
JLRTVX,J,0.35,12,3,6,0,9,30,0.4,0.1,0.2,0.0,0.3
JLRTVX,J,0.4,6,6,10,1,7,30,0.2,0.2,0.3333333333333333,0.03333333333333333,0.23333333333333334
JLRTVX,J,0.45,1,6,10,6,7,30,0.03333333333333333,0.2,0.3333333333333333,0.2,0.23333333333333334
JLRTVX,J,0.5,4,5,10,8,3,30,0.13333333333333333,0.16666666666666666,0.3333333333333333,0.26666666666666666,0.1
JLRTVX,J,0.55,2,9,7,9,3,30,0.06666666666666667,0.3,0.23333333333333334,0.3,0.1
JLRTVX,J,0.6,2,6,6,12,4,30,0.06666666666666667,0.2,0.2,0.4,0.13333333333333333
JLRTVX,J,0.65,0,1,7,16,6,30,0.0,0.03333333333333333,0.23333333333333334,0.5333333333333333,0.2
JLRTVX,L,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
JLRTVX,L,0.1,29,0,0,1,0,30,0.9666666666666667,0.0,0.0,0.03333333333333333,0.0
JLRTVX,L,0.15,28,0,0,0,2,30,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667
JLRTVX,L,0.2,22,3,0,2,3,30,0.7333333333333333,0.1,0.0,0.06666666666666667,0.1
JLRTVX,L,0.25,22,2,0,3,3,30,0.7333333333333333,0.06666666666666667,0.0,0.1,0.1
JLRTVX,L,0.3,14,2,1,2,11,30,0.4666666666666667,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.36666666666666664
JLRTVX,L,0.35,10,3,8,0,9,30,0.3333333333333333,0.1,0.26666666666666666,0.0,0.3
JLRTVX,L,0.4,6,4,10,2,8,30,0.2,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.26666666666666666
JLRTVX,L,0.45,6,5,10,3,6,30,0.2,0.16666666666666666,0.3333333333333333,0.1,0.2
JLRTVX,L,0.5,3,4,9,5,9,30,0.1,0.13333333333333333,0.3,0.16666666666666666,0.3
JLRTVX,L,0.55,2,8,8,5,7,30,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.16666666666666666,0.23333333333333334
JLRTVX,L,0.6,2,8,6,6,8,30,0.06666666666666667,0.26666666666666666,0.2,0.2,0.26666666666666666
JLRTVX,L,0.65,1,6,5,13,5,30,0.03333333333333333,0.2,0.16666666666666666,0.43333333333333335,0.16666666666666666
JLRTVX,R,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
JLRTVX,R,0.1,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
JLRTVX,R,0.15,29,0,1,0,0,30,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0
JLRTVX,R,0.2,28,1,1,0,0,30,0.9333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0
JLRTVX,R,0.25,21,5,4,0,0,30,0.7,0.16666666666666666,0.13333333333333333,0.0,0.0
JLRTVX,R,0.3,19,4,4,2,1,30,0.6333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.03333333333333333
JLRTVX,R,0.35,9,7,9,2,3,30,0.3,0.23333333333333334,0.3,0.06666666666666667,0.1
JLRTVX,R,0.4,8,6,10,4,2,30,0.26666666666666666,0.2,0.3333333333333333,0.13333333333333333,0.06666666666666667
JLRTVX,R,0.45,4,5,10,6,5,30,0.13333333333333333,0.16666666666666666,0.3333333333333333,0.2,0.16666666666666666
JLRTVX,R,0.5,1,5,9,11,4,30,0.03333333333333333,0.16666666666666666,0.3,0.36666666666666664,0.13333333333333333
JLRTVX,R,0.55,1,7,11,10,1,30,0.03333333333333333,0.23333333333333334,0.36666666666666664,0.3333333333333333,0.03333333333333333
JLRTVX,R,0.6,0,4,10,11,5,30,0.0,0.13333333333333333,0.3333333333333333,0.36666666666666664,0.16666666666666666
JLRTVX,R,0.65,0,3,9,14,4,30,0.0,0.1,0.3,0.4666666666666667,0.13333333333333333
JLRTVX,T,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
JLRTVX,T,0.1,28,0,0,0,2,30,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667
JLRTVX,T,0.15,24,0,2,0,4,30,0.8,0.0,0.06666666666666667,0.0,0.13333333333333333
JLRTVX,T,0.2,21,0,4,0,5,30,0.7,0.0,0.13333333333333333,0.0,0.16666666666666666
JLRTVX,T,0.25,16,1,7,0,6,30,0.5333333333333333,0.03333333333333333,0.23333333333333334,0.0,0.2
JLRTVX,T,0.3,13,1,9,2,5,30,0.43333333333333335,0.03333333333333333,0.3,0.06666666666666667,0.16666666666666666
JLRTVX,T,0.35,7,3,14,1,5,30,0.23333333333333334,0.1,0.4666666666666667,0.03333333333333333,0.16666666666666666
JLRTVX,T,0.4,8,4,13,1,4,30,0.26666666666666666,0.13333333333333333,0.43333333333333335,0.03333333333333333,0.13333333333333333
JLRTVX,T,0.45,3,7,7,4,9,30,0.1,0.23333333333333334,0.23333333333333334,0.13333333333333333,0.3
