K,seed,country,i,j,dist
3,7,Belgium,2,2,1.1310636633455575
3,7,Bulgaria,0,0,2.496588869118361
3,7,Croatia,0,0,2.144984769247923
3,7,Czech Republic,0,2,1.4380617934935598
3,7,Denmark,2,2,1.0532251434893682
3,7,Estonia,0,0,2.2389187412197833
3,7,Finland,2,1,1.2549613135472801
3,7,Germany,2,2,1.6513814194143759
3,7,Greece,0,0,3.679892612107557
3,7,Hungary,0,0,1.0595133706958775
3,7,Iceland,2,2,2.3289489006017052
3,7,Ireland,2,2,2.403478746997136
3,7,Italy,2,2,1.3045861660765055
3,7,Latvia,0,0,2.28718931438847
3,7,Lithuania,0,0,1.8179325301872837
3,7,Luxembourg,2,2,3.865527906617234
3,7,Netherlands,2,2,1.5610313965698819
3,7,Norway,2,2,2.365293100694285
3,7,Poland,0,0,1.2142219014999758
3,7,Portugal,0,0,1.1602007999937825
3,7,Slovakia,0,0,1.2947335446089148
3,7,Slovenia,0,1,1.572450925706757
3,7,Spain,2,0,3.55457792512023
3,7,Sweden,2,2,1.8513082345821354
3,7,Switzerland,2,2,3.075407913191076
3,7,Ukraine,0,0,5.388111552296373
3,7,United Kingdom,2,1,2.0103660750703036
3,8,Austria,2,0,1.579171226777229
3,8,Belgium,2,0,1.1101528570493935
3,8,Bulgaria,0,2,2.4502247983490983
3,8,Croatia,0,2,2.130561218984334
3,8,Czech Republic,2,2,1.4452887921778348
3,8,Denmark,2,0,1.0267340682010873
3,8,Estonia,0,2,2.1771792322759507
3,8,Finland,1,0,1.2979922049618149
3,8,Germany,2,0,1.6726381929935297
3,8,Greece,0,2,3.7041804719371583
3,8,Hungary,0,2,0.9839335355840529
3,8,Iceland,2,0,2.28259553169513
3,8,Ireland,2,0,2.3811683850897247
3,8,Italy,2,0,1.3184365435641976
3,8,Latvia,0,2,2.2247587883584647
3,8,Lithuania,0,2,1.7699159083317337
3,8,Luxembourg,2,0,3.8505132888819373
3,8,Netherlands,2,0,1.547685284847318
3,8,Norway,2,0,2.3833038004763885
3,8,Poland,0,2,1.2821785529039489
3,8,Portugal,0,2,1.1563803011117046
3,8,Slovakia,0,2,1.2368674648477902
3,8,Slovenia,1,2,1.565432849080601
3,8,Spain,0,0,3.618197387103447
3,8,Sweden,2,0,1.8694268190138743
3,8,Switzerland,2,0,3.0561056168451155
3,8,Ukraine,0,2,5.408285330636016
3,8,United Kingdom,1,0,2.0346011362139413
3,9,Austria,2,0,1.6017387074427392
3,9,Belgium,2,1,1.1288447981260277
3,9,Bulgaria,0,2,2.457698061512345
3,9,Croatia,0,2,2.167650346785463
3,9,Czech Republic,2,2,1.4484859995657065
3,9,Denmark,2,0,1.0301748996477267
3,9,Estonia,0,2,2.197069758072427
3,9,Finland,1,0,1.2735235609235955
3,9,Germany,2,0,1.6616517865804452
3,9,Greece,0,2,3.7125459650038293
3,9,Hungary,0,2,1.0001367856634598
3,9,Iceland,2,0,2.318984573113413
3,9,Ireland,2,0,2.3783805668003826
3,9,Italy,2,0,1.3064650033433376
3,9,Latvia,0,2,2.251175155354204
3,9,Lithuania,0,2,1.8135719875731602
3,9,Luxembourg,2,0,3.8224304505081705
3,9,Netherlands,2,0,1.5120360699999995
3,9,Norway,2,0,2.3247520500391192
3,9,Poland,0,2,1.2774754465228786
3,9,Portugal,0,2,1.1708954149714053
3,9,Slovakia,0,2,1.2681383723346895
3,9,Slovenia,1,2,1.5666727556928783
3,9,Spain,0,0,3.6116669950674605
3,9,Sweden,2,0,1.856195220482806
3,9,Switzerland,2,0,3.0189739889177427
3,9,Ukraine,0,2,5.394171096868823
3,9,United Kingdom,1,0,2.0228392056702997
4,0,Austria,0,1,1.6350486561193054
4,0,Belgium,0,2,1.1371129219589893
4,0,Bulgaria,3,3,2.382067545113239
4,0,Croatia,3,3,2.1875439596074244
4,0,Czech Republic,1,3,1.4697202266450928
4,0,Denmark,0,1,1.100851638582483
4,0,Estonia,3,3,2.1170216840166014
4,0,Finland,1,0,1.2320424086337127
4,0,Germany,0,0,1.6559925878806583
4,0,Greece,3,2,3.7303162806547703
4,0,Hungary,3,3,0.9255072690263925
4,0,Iceland,0,0,2.275687932656109
4,0,Ireland,0,0,2.369082665858195
4,0,Italy,0,0,1.2714776521615598
4,0,Latvia,3,3,2.184378689107837
4,0,Lithuania,3,3,1.792115129303729
4,0,Luxembourg,0,0,3.8468490011438647
