K,seed,country,i,j,dist
5,0,Hungary,0,2,0.8243122315918351
5,0,Iceland,4,4,1.4850163097433047
5,0,Ireland,2,3,2.1690508220701328
5,0,Italy,0,3,1.3008429984790781
5,0,Latvia,0,2,1.715564187005079
5,0,Lithuania,0,2,1.360333302998864
5,0,Luxembourg,2,3,2.7236491006710764
5,0,Netherlands,2,1,1.092876487168344
5,0,Norway,4,2,1.7516688502970066
5,0,Poland,1,1,1.2723060420803947
5,0,Portugal,3,0,0.6976489162028866
5,0,Slovakia,3,2,0.8908786445301519
5,0,Slovenia,4,1,0.8601091970229846
5,0,Spain,0,0,1.9877953051314077
5,0,Sweden,0,4,1.4163511905166117
5,0,Switzerland,2,1,2.2918642770639535
5,0,Ukraine,3,4,3.4373119390037448
5,0,United Kingdom,2,4,1.3043557180494048
5,1,Austria,0,4,1.2732163130461909
5,1,Belgium,0,4,0.6708640618801347
5,1,Bulgaria,3,3,1.871288142549804
5,1,Croatia,4,4,1.9536604359011212
5,1,Czech Republic,1,0,0.9594663551278254
5,1,Denmark,3,4,0.8296017446336764
5,1,Estonia,1,3,1.7202803387892196
5,1,Finland,2,0,0.7591335207035874
5,1,Germany,1,4,1.2646268550921798
5,1,Greece,3,3,3.4204129681479474
5,1,Hungary,0,1,0.687292978381963
5,1,Iceland,3,0,1.7043822625003409
5,1,Ireland,3,0,2.0362376807204865
5,1,Italy,0,0,0.7796537147809209
5,1,Latvia,0,1,1.6798103620553217
5,1,Lithuania,0,1,1.3167507419703426
5,1,Luxembourg,3,0,3.8040778584616257
5,1,Netherlands,3,1,1.5496729159552094
5,1,Norway,3,1,1.8075753087583233
5,1,Poland,1,2,1.05172907759777
5,1,Portugal,4,1,1.1478642193743567
5,1,Slovakia,4,3,0.8251845095216003
5,1,Slovenia,4,4,0.8474297963073432
5,1,Spain,4,2,2.1589898497700095
5,1,Sweden,4,0,1.3345283632196456
5,1,Switzerland,3,1,2.9498350433766074
5,1,Ukraine,0,3,3.553730207256289
5,1,United Kingdom,0,0,1.6799699388274205
5,2,Austria,0,4,1.4736384124442738
5,2,Belgium,3,0,0.8689730199446591
5,2,Bulgaria,1,2,1.9258123503669757
5,2,Croatia,0,2,1.6019344113113971
5,2,Czech Republic,4,3,0.9656300642500366
5,2,Denmark,3,3,0.876969064823285
5,2,Estonia,1,2,1.8525935075966904
5,2,Finland,2,4,0.7464595623038155
5,2,Germany,4,0,1.133024783653207
5,2,Greece,1,3,2.4398274511549864
5,2,Hungary,1,2,0.7980126030712057
5,2,Iceland,0,4,1.5067673209294121
5,2,Ireland,1,1,1.6602451551675195
5,2,Italy,2,4,1.0921761806479648
5,2,Latvia,4,1,2.00139228421312
5,2,Lithuania,4,1,1.3266664820209004
5,2,Luxembourg,1,4,2.629173456951902
5,2,Netherlands,3,4,1.5618743194428035
5,2,Norway,3,4,1.7477414165203735
5,2,Poland,1,2,1.2289912467181503
5,2,Portugal,1,3,0.7754047182255963
5,2,Slovakia,4,1,0.7996920563025248
5,2,Slovenia,2,0,1.0931684573892546
5,2,Spain,0,0,1.9457515580113212
5,2,Sweden,2,4,1.3130235134976516
5,2,Switzerland,3,4,2.956709732971931
5,2,Ukraine,1,2,5.1348246035543905
5,2,United Kingdom,2,2,1.2743547390656427
5,3,Austria,3,3,1.1153677332552479
5,3,Belgium,1,3,0.7555731783990806
5,3,Bulgaria,1,4,1.918946997879264
5,3,Croatia,3,4,1.6934741423617596
5,3,Czech Republic,3,0,0.9656222574814128
5,3,Denmark,0,4,0.6866067646617446
5,3,Estonia,0,3,1.7893732539044402
5,3,Finland,1,1,0.7462635668040618
5,3,Germany,1,1,1.204116338316612
5,3,Greece,2,0,2.438981233734282
5,3,Hungary,0,3,0.7998065825741071
5,3,Iceland,4,4,1.437848627209315
5,3,Ireland,4,0,1.3904512724597682
5,3,Italy,2,3,0.9669593246556197
5,3,Latvia,4,3,1.8342104179043002
5,3,Lithuania,4,3,1.4621045537445339
5,3,Luxembourg,1,2,2.5837677106558763
5,3,Netherlands,2,2,1.2037970966350855
5,3,Norway,1,1,2.2294914562829153
5,3,Poland,3,1,1.1698497927088525
5,3,Portugal,2,0,0.8958393148688618
5,3,Slovakia,4,3,1.0006739164647551
5,3,Slovenia,0,0,1.0116522472857472
5,3,Spain,4,0,3.2538936765072095
5,3,Sweden,4,2,1.234790783739191
5,3,Switzerland,2,2,2.837382499255119
5,3,Ukraine,1,4,5.190278702449986
5,3,United Kingdom,2,0,1.7240285244734654
5,4,Austria,1,4,1.5009564566365416
5,4,Belgium,4,2,0.8235040268483753
5,4,Bulgaria,1,2,1.8686149547134672
5,4,Croatia,4,0,1.9420940879120185
5,4,Czech Republic,3,0,0.925900873760271
5,4,Denmark,1,4,0.721641524287473
5,4,Estonia,3,3,1.7172522212347392
5,4,Finland,0,2,0.7611625759428183
5,4,Germany,0,2,1.335484526336094
5,4,Greece,4,0,2.0101633725631323
5,4,Hungary,3,3,0.7062490413834489
5,4,Iceland,2,4,2.116902945334292
5,4,Ireland,1,3,1.6685422894276052
5,4,Italy,4,3,1.019290697313927
5,4,Latvia,0,3,1.6473826072854294
5,4,Lithuania,0,3,1.3010950127700174
5,4,Luxembourg,2,4,2.683441399046928
5,4,Netherlands,4,1,1.0044221887756049
5,4,Norway,3,1,1.836300115578852
5,4,Poland,1,2,1.2687029492562567
5,4,Portugal,0,0,0.6827084985751366
5,4,Slovakia,3,4,0.7503741197065835
5,4,Slovenia,2,3,1.0633496853258886
5,4,Spain,1,3,3.2812246877738964
5,4,Sweden,0,2,1.3882110572897461
5,4,Switzerland,4,4,1.9369829335518511
5,4,Ukraine,0,4,3.3072894610917483
5,4,United Kingdom,1,0,1.2132352914020115
5,5,Austria,0,2,1.1618513237890011
5,5,Belgium,3,0,0.6879818036489098
5,5,Bulgaria,4,3,2.102648317391427
5,5,Croatia,2,4,1.5590412152607602
5,5,Czech Republic,3,3,0.9582785342911613
5,5,Denmark,4,0,0.6898315452791889
5,5,Estonia,4,3,1.697478952424607
5,5,Finland,4,4,0.7266175629524423
5,5,Germany,1,2,1.1598271381880525
5,5,Greece,2,4,3.2926720067611805
5,5,Hungary,4,3,0.6989549712630271
5,5,Iceland,2,3,1.6382716501068764
5,5,Ireland,2,3,2.1460739700756895
5,5,Italy,0,4,0.8534881412256904
5,5,Latvia,1,0,1.805063001671194
5,5,Lithuania,1,0,1.3863544649117616
5,5,Luxembourg,0,0,3.656498377627848
5,5,Netherlands,1,1,1.2016287489304704
5,5,Norway,0,0,1.3983976331682402
5,5,Poland,4,3,1.3207313865741588
