eta_inicial,grilla,seed,country,i,j,dist
0.1,hexagonal,3,Netherlands,2,1,1.526251563378078
0.1,hexagonal,3,Norway,2,0,2.38823059066643
0.1,hexagonal,3,Poland,0,1,1.3303025212616486
0.1,hexagonal,3,Portugal,0,0,1.272970262546649
0.1,hexagonal,3,Slovakia,1,0,1.3493004742452537
0.1,hexagonal,3,Slovenia,1,2,0.9630083255806129
0.1,hexagonal,3,Spain,2,0,3.4129362808772927
0.1,hexagonal,3,Sweden,2,0,1.368393950210349
0.1,hexagonal,3,Switzerland,2,1,2.9683637052558596
0.1,hexagonal,3,Ukraine,0,1,5.171169854819388
0.1,hexagonal,3,United Kingdom,2,0,1.8928547763750443
0.1,hexagonal,4,Austria,0,2,1.8774757251491518
0.1,hexagonal,4,Belgium,2,2,1.443481430991754
0.1,hexagonal,4,Bulgaria,2,1,1.9265529003783906
0.1,hexagonal,4,Croatia,0,0,2.216796041741297
0.1,hexagonal,4,Czech Republic,1,0,1.5101773465219568
0.1,hexagonal,4,Denmark,2,2,1.3372310251391442
0.1,hexagonal,4,Estonia,2,1,1.910686160508446
0.1,hexagonal,4,Finland,0,2,0.7141815766176024
0.1,hexagonal,4,Germany,0,2,1.1994841943205832
0.1,hexagonal,4,Greece,0,0,3.41851046847797
0.1,hexagonal,4,Hungary,1,0,0.7747982362517059
0.1,hexagonal,4,Iceland,2,2,2.1504128275873944
0.1,hexagonal,4,Ireland,2,2,1.6731150902143805
0.1,hexagonal,4,Italy,0,2,1.0759771891132515
0.1,hexagonal,4,Latvia,1,0,1.7991564764157948
0.1,hexagonal,4,Lithuania,1,0,1.475165536414532
0.1,hexagonal,4,Luxembourg,2,2,3.7169548016499383
0.1,hexagonal,4,Netherlands,2,2,1.824624480000088
0.1,hexagonal,4,Norway,0,2,2.2744518513113574
0.1,hexagonal,4,Poland,1,1,1.2055092776702054
0.1,hexagonal,4,Portugal,0,0,0.8301254706076457
0.1,hexagonal,4,Slovakia,1,0,1.0336483029217662
0.1,hexagonal,4,Slovenia,0,0,1.5937315714541378
0.1,hexagonal,4,Spain,2,2,3.3983024148348253
0.1,hexagonal,4,Sweden,0,2,1.3298592890670777
0.1,hexagonal,4,Switzerland,2,2,3.0740958804352676
0.1,hexagonal,4,Ukraine,0,1,3.6812321053940025
0.1,hexagonal,4,United Kingdom,1,2,1.2564095217868245
0.1,hexagonal,5,Austria,0,2,1.1833387467349221
0.1,hexagonal,5,Belgium,0,2,0.7202058688323111
0.1,hexagonal,5,Bulgaria,1,2,2.2950889724368184
0.1,hexagonal,5,Croatia,0,1,2.213119393166679
0.1,hexagonal,5,Czech Republic,0,1,1.0575018957653906
0.1,hexagonal,5,Denmark,2,0,0.6707486283046509
0.1,hexagonal,5,Estonia,1,2,1.8302134281759717
0.1,hexagonal,5,Finland,2,1,0.9300495968812681
0.1,hexagonal,5,Germany,2,1,1.1730901659031647
0.1,hexagonal,5,Greece,2,2,3.549362938711728
0.1,hexagonal,5,Hungary,1,2,0.732992160012499
0.1,hexagonal,5,Iceland,0,2,2.2327772849899534
0.1,hexagonal,5,Ireland,2,0,2.509232436940176
0.1,hexagonal,5,Italy,1,1,1.067490707366675
0.1,hexagonal,5,Latvia,1,2,1.656272957129791
0.1,hexagonal,5,Lithuania,1,2,1.3343746859956072
0.1,hexagonal,5,Luxembourg,2,0,3.7819715922441635
0.1,hexagonal,5,Netherlands,2,0,1.167911710624645
0.1,hexagonal,5,Norway,0,0,1.6846591783456109
0.1,hexagonal,5,Poland,1,2,1.456725189058389
0.1,hexagonal,5,Portugal,2,2,1.276550284717857
0.1,hexagonal,5,Slovakia,1,2,0.988501086611119
0.1,hexagonal,5,Slovenia,0,1,1.0285798279313627
0.1,hexagonal,5,Spain,1,1,3.4873985530768956
0.1,hexagonal,5,Sweden,0,0,1.6065916710934172
0.1,hexagonal,5,Switzerland,2,0,2.8402142934209906
0.1,hexagonal,5,Ukraine,1,2,5.149004622472219
0.1,hexagonal,5,United Kingdom,2,2,1.3307591251064959
0.1,hexagonal,6,Austria,2,0,1.8475688338699792
0.1,hexagonal,6,Belgium,2,1,1.4597271365946989
