caso,letra,pixel,input,output
exp3,M,5,1,1
exp3,M,6,1,1
exp3,M,7,-1,-1
exp3,M,8,1,1
exp3,M,9,1,1
exp3,M,10,1,1
exp3,M,11,-1,1
exp3,M,12,1,-1
exp3,M,13,-1,1
exp3,M,14,1,1
exp3,M,15,1,1
exp3,M,16,-1,1
exp3,M,17,-1,-1
exp3,M,18,-1,1
exp3,M,19,1,1
exp3,M,20,1,1
exp3,M,21,-1,1
exp3,M,22,-1,-1
exp3,M,23,-1,1
exp3,M,24,1,1
